contig	gene_id	gene_number	locus	strand	full_label	hmm	gene_symbol	label	product	ec_number
NC_004663.1	NC_004663.1_3407	3407	(4251565, 4253100)	pos	NC_004663.1_3407__NC_004663.1_3407_4251565_4253100_pos	NF033071.0	susD	starch-binding outer membrane lipoprotein SusD	susD	undef
NC_004663.1	NC_004663.1_3583	3583	(4488562, 4491702)	pos	NC_004663.1_3583__NC_004663.1_3583_4488562_4491702_pos	TIGR04056.1	susC	SusC/RagA family TonB-linked outer membrane protein	susC	undef
NC_004663.1	NC_004663.1_3584	3584	(4491719, 4493767)	pos	NC_004663.1_3584__NC_004663.1_3584_4491719_4493767_pos	NF033071.0	susD	starch-binding outer membrane lipoprotein SusD	susD	undef
NC_004663.1	NC_004663.1_3619	3619	(4543971, 4547426)	pos	NC_004663.1_3619__NC_004663.1_3619_4543971_4547426_pos	TIGR04056.1	susC	SusC/RagA family TonB-linked outer membrane protein	susC	undef
NC_004663.1	NC_004663.1_3620	3620	(4547439, 4549367)	pos	NC_004663.1_3620__NC_004663.1_3620_4547439_4549367_pos	NF033071.0	susD	starch-binding outer membrane lipoprotein SusD	susD	undef
NC_004663.1	NC_004663.1_3903	3903	(4918843, 4921944)	pos	NC_004663.1_3903__NC_004663.1_3903_4918843_4921944_pos	TIGR04056.1	susC	SusC/RagA family TonB-linked outer membrane protein	susC	undef
NC_004663.1	NC_004663.1_3904	3904	(4921964, 4923943)	pos	NC_004663.1_3904__NC_004663.1_3904_4921964_4923943_pos	NF033071.0	susD	starch-binding outer membrane lipoprotein SusD	susD	undef
NC_004663.1	NC_004663.1_3972	3972	(5015957, 5019088)	pos	NC_004663.1_3972__NC_004663.1_3972_5015957_5019088_pos	TIGR04056.1	susC	SusC/RagA family TonB-linked outer membrane protein	susC	undef
NC_004663.1	NC_004663.1_3973	3973	(5019100, 5021031)	pos	NC_004663.1_3973__NC_004663.1_3973_5019100_5021031_pos	NF033071.0	susD	starch-binding outer membrane lipoprotein SusD	susD	undef
NC_004663.1	NC_004663.1_4067	4067	(5132450, 5135593)	pos	NC_004663.1_4067__NC_004663.1_4067_5132450_5135593_pos	TIGR04056.1	susC	SusC/RagA family TonB-linked outer membrane protein	susC	undef
NC_004663.1	NC_004663.1_4068	4068	(5135615, 5137549)	pos	NC_004663.1_4068__NC_004663.1_4068_5135615_5137549_pos	NF033071.0	susD	starch-binding outer membrane lipoprotein SusD	susD	undef
NC_004663.1	NC_004663.1_4073	4073	(5146676, 5149828)	pos	NC_004663.1_4073__NC_004663.1_4073_5146676_5149828_pos	TIGR04056.1	susC	SusC/RagA family TonB-linked outer membrane protein	susC	undef
NC_004663.1	NC_004663.1_4074	4074	(5149853, 5151817)	pos	NC_004663.1_4074__NC_004663.1_4074_5149853_5151817_pos	NF033071.0	susD	starch-binding outer membrane lipoprotein SusD	susD	undef
NC_004663.1	NC_004663.1_4207	4207	(5334073, 5337207)	pos	NC_004663.1_4207__NC_004663.1_4207_5334073_5337207_pos	TIGR04056.1	susC	SusC/RagA family TonB-linked outer membrane protein	susC	undef
NC_004663.1	NC_004663.1_4208	4208	(5337214, 5339010)	pos	NC_004663.1_4208__NC_004663.1_4208_5337214_5339010_pos	NF033071.0	susD	starch-binding outer membrane lipoprotein SusD	susD	undef
NC_004663.1	NC_004663.1_4287	4287	(5474559, 5477825)	pos	NC_004663.1_4287__NC_004663.1_4287_5474559_5477825_pos	TIGR04056.1	susC	SusC/RagA family TonB-linked outer membrane protein	susC	undef
NC_004663.1	NC_004663.1_4288	4288	(5477838, 5479424)	pos	NC_004663.1_4288__NC_004663.1_4288_5477838_5479424_pos	NF033071.0	susD	starch-binding outer membrane lipoprotein SusD	susD	undef
NC_004663.1	NC_004663.1_4860	4860	(6198720, 6202139)	pos	NC_004663.1_4860__NC_004663.1_4860_6198720_6202139_pos	TIGR04056.1	susC	SusC/RagA family TonB-linked outer membrane protein	susC	undef
NC_004663.1	NC_004663.1_4861	4861	(6202152, 6203495)	pos	NC_004663.1_4861__NC_004663.1_4861_6202152_6203495_pos	NF033071.0	susD	starch-binding outer membrane lipoprotein SusD	susD	undef
